"","gene_id","pm_res_101","pm_res_102","pm_res_103","pm_res_104","pm_res_105","pm_res_106","pm_res_107","pm_res_108","pm_res_109","pm_res_110","pm_res_111","pm_res_112","pm_res_113","pm_res_114","pm_res_115","pm_res_116","pm_res_117","pm_res_118","pm_res_119","pm_res_120","pm_res_121","pm_res_122","pm_res_123","pm_res_124","pm_res_125","unexp_26","unexp_27","unexp_28","unexp_29","unexp_30","unexp_31","unexp_32","unexp_33","unexp_34","unexp_35","unexp_36","unexp_37","unexp_38","unexp_39","unexp_40","unexp_41","unexp_42","unexp_43","unexp_44","unexp_45","unexp_46","unexp_47","unexp_48","unexp_49","unexp_50"
"1","rna-NC_002084.1:14045..14844",15154,13006,14744,15438,12737,20456,18064,20019,20805,16208,13586,27032,36188,57977,17862,57390,49839,19712,69244,32146,43858,54066,29724,92283,64225,6493,7101,21198,11585,9070,5409,7744,7692,6519,6510,9278,10695,6768,7556,10340,10074,6436,11343,13471,6198,5961,8429,15549,5292,7943
"2","rna-NC_002084.1:13973..14044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","rna-NC_002084.1:12648..13972",1806060,1477647,2065088,1560460,1940757,2598928,1258806,2176500,2512112,2174217,1652810,1891657,831508,1249500,728085,1062301,803727,710734,984610,642315,979603,1218840,577614,1529533,1356279,2013015,1950384,2093063,3943986,2575241,1493518,2290875,2325654,2259998,1554380,2615686,1981688,1040668,1631563,2188421,3401487,2387192,3389259,2214432,2040971,1435541,2430302,2698155,2156629,2013713
"4","rna-NC_002084.1:12582..12647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ND1",272,210,167,115,180,124,98,86,244,184,172,1225,4861,8150,4652,6997,4381,4124,7165,2030,5173,3870,4196,12460,7018,150,161,129,167,196,250,170,245,219,219,175,185,71,254,385,776,357,810,491,306,467,472,350,325,869
"6","rna-NC_002084.1:11548..11613",92,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"7","CYTB",1078,608,818,690,1126,1397,718,1330,1334,1132,890,7121,19968,32311,22657,21116,19217,16901,27477,17139,22110,26930,15377,31935,22376,778,1235,704,2237,711,718,950,1501,1104,438,1575,893,171,1250,1316,2873,1120,3151,1696,1687,1118,1825,1232,2155,1202
"8","ND6",58,6,48,26,26,45,0,14,44,21,9,173,266,475,487,490,382,278,615,329,347,470,111,334,296,46,9,28,37,18,18,7,34,10,20,12,9,0,66,53,92,56,28,171,33,36,83,41,40,45
"9","rna-NC_002084.1:9821..9886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,1,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0
"10","rna-NC_002084.1:9756..9820",0,0,9,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
