	condition
delta_res_76	resistant
delta_res_77	resistant
delta_res_79	resistant
delta_res_80	resistant
delta_res_81	resistant
delta_res_82	resistant
delta_res_83	resistant
delta_res_84	resistant
delta_res_85	resistant
delta_res_86	resistant
delta_res_87	resistant
delta_res_88	resistant
delta_res_89	resistant
delta_res_90	resistant
delta_res_91	resistant
delta_res_92	resistant
delta_res_93	resistant
delta_res_94	resistant
delta_res_95	resistant
delta_res_96	resistant
delta_res_97	resistant
delta_res_98	resistant
delta_res_99	resistant
delta_res_100	resistant
sus_kis_1	susceptible
sus_kis_2	susceptible
sus_kis_3	susceptible
sus_kis_4	susceptible
sus_kis_5	susceptible
sus_kis_6	susceptible
sus_kis_7	susceptible
sus_kis_8	susceptible
sus_kis_9	susceptible
sus_kis_10	susceptible
sus_kis_12	susceptible
sus_kis_13	susceptible
sus_kis_14	susceptible
sus_kis_15	susceptible
sus_kis_16	susceptible
sus_kis_18	susceptible
sus_kis_19	susceptible
sus_kis_20	susceptible
sus_kis_21	susceptible
sus_kis_22	susceptible
sus_kis_23	susceptible
sus_kis_24	susceptible
sus_kis_25	susceptible
