	condition
delta_res_76	resistant
delta_res_77	resistant
delta_res_79	resistant
delta_res_80	resistant
delta_res_81	resistant
delta_res_82	resistant
delta_res_83	resistant
delta_res_84	resistant
delta_res_85	resistant
delta_res_86	resistant
delta_res_87	resistant
delta_res_88	resistant
delta_res_89	resistant
delta_res_90	resistant
delta_res_91	resistant
delta_res_92	resistant
delta_res_93	resistant
delta_res_94	resistant
delta_res_95	resistant
delta_res_96	resistant
delta_res_97	resistant
delta_res_98	resistant
delta_res_99	resistant
delta_res_100	resistant
unexp_26	unexposed
unexp_27	unexposed
unexp_28	unexposed
unexp_29	unexposed
unexp_30	unexposed
unexp_31	unexposed
unexp_32	unexposed
unexp_33	unexposed
unexp_34	unexposed
unexp_35	unexposed
unexp_36	unexposed
unexp_37	unexposed
unexp_38	unexposed
unexp_39	unexposed
unexp_40	unexposed
unexp_41	unexposed
unexp_42	unexposed
unexp_43	unexposed
unexp_44	unexposed
unexp_45	unexposed
unexp_46	unexposed
unexp_47	unexposed
unexp_48	unexposed
unexp_49	unexposed
unexp_50	unexposed
