"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFUN016260",407.264810495757,-2.69790187062506,0.360256429062274,-7.48883754176861,6.94862850859116e-14,7.48992666941041e-10
"AFUN017790",216.953746172095,-5.69781628234512,0.791429630109146,-7.19939722443716,6.04793225394515e-13,3.25953308826374e-09
"AFUN005104",569.299711134555,-2.7482533677016,0.390173256038025,-7.04367438098772,1.87235413996002e-12,6.72736842487635e-09
"AFUN017628",1310.94826660846,-27.4579326131591,4.00218188208957,-6.86074082140992,6.85043527015919e-12,1.84602104442615e-08
"AFUN017361",671.81771309279,-2.66787073358924,0.399729987452691,-6.67418211625913,2.48614733490980e-11,5.35963642459856e-08
"AFUN022319",1298.66271632973,2.09563230238632,0.336494002752956,6.22784443479331,4.72896269548374e-10,8.49558148243655e-07
"AFUN019875",1733.93277560304,-2.01387146472058,0.329060306996574,-6.12006802978382,9.35354155462824e-10,1.44031177739054e-06
"AFUN009967",3049.41226487972,-1.83465526073902,0.314294749611148,-5.8373716487752,5.30307177184672e-09,7.14522632859198e-06
"AFUN010648",717.264720249673,2.57081126640299,0.448418373692384,5.73306406968635,9.86323538380052e-09,1.06315814201986e-05
"AFUN021642",376.572129288844,-2.06234914597843,0.359263078925967,-5.74049844516146,9.43982878189584e-09,1.06315814201986e-05
"AFUN017515",688.708107125235,-26.6566336567618,4.69537658842283,-5.67720887872717,1.36910254315751e-08,1.3415960284268e-05
"AFUN017846",239.103802367429,-3.10858060569162,0.553876371730734,-5.61240876908692,1.99529411492056e-08,1.79227293872739e-05
"AFUN009242",649.93796376201,2.01874717199376,0.361959829744342,5.57726854225684,2.44324547175821e-08,2.02582638000628e-05
"AFUN008656",2675.43237521931,-1.74978770405587,0.321737743494916,-5.43855279473456,5.3715093581685e-08,4.13567852654987e-05
"AFUN017873",163.28974468754,-5.86452603412154,1.09500727110371,-5.35569597470382,8.52277133475659e-08,6.12446348115608e-05
"AFUN019083",1596.90244462616,-2.038168406268,0.386770852256208,-5.26970529029901,1.36642970245156e-07,9.20546610170335e-05
"AFUN019775",680.909533013485,-1.74801179276693,0.335105063719135,-5.21630969513493,1.8252291224967e-07,0.000115730263008188
"AFUN022251",39.5702761931633,-2.84637705354561,0.562963908173525,-5.0560560139288,4.28015667591012e-07,0.000256310048942417
"AFUN017103",190.339913010488,-23.9009468850694,4.78518034818497,-4.99478497067202,5.89013580593916e-07,0.000317448869261091
"AFUN019422",359.346745757437,-1.97242189775405,0.394214489588483,-5.00342313600152,5.6321128820999e-07,0.000317448869261091
"AFUN017441",176.959564774851,-23.7154725660163,4.78522148539671,-4.95598221281709,7.19657999882372e-07,0.000369390170511052
"AFUN017587",14063.3408898283,4.68077075675958,0.949456023330838,4.92995003637842,8.22506499752053e-07,0.000385469459166408
"AFUN017839",129.571496502896,-23.6085006648677,4.78528671057036,-4.93356032622208,8.07440879470018e-07,0.000385469459166408
"AFUN004703",284.24472606465,-1.78906535836678,0.370209589651156,-4.83257432648517,1.34778767215999e-06,0.000605325138258854
"AFUN017530",70.8691460385743,-3.63201482202448,0.766348061307222,-4.73938019211409,2.14372942351603e-06,0.000892015249448454
"AFUN019699",58.008451807512,-2.66744330630935,0.562913870784554,-4.73863488670412,2.15162783984227e-06,0.000892015249448454
"AFUN006671",86.1025429805281,-1.92315428748258,0.416668513581823,-4.61554983108875,3.92055952356892e-06,0.00156517448535368
"AFUN016382",1954.9009137851,1.99539572936592,0.433662448824192,4.60126472738446,4.19933305570591e-06,0.00156699989054964
"AFUN017627",299.126659419275,-4.95554889833476,1.07718890706286,-4.60044553545109,4.21588244048052e-06,0.00156699989054964
"AFUN018492",59.6963695275668,-2.30192155862376,0.505482697320784,-4.55390772191542,5.26584620570164e-06,0.0018920185417086
"AFUN017812",121.598427552552,-8.08685519870403,1.78731905032713,-4.52457282163692,6.05176135653133e-06,0.00210425598909842
"AFUN006446",3682.41378272135,-1.5531280375565,0.34522102022685,-4.49893820641606,6.82937033059325e-06,0.00229419096414703
"AFUN017723",3504.38830099566,-2.1468560474522,0.477825645842222,-4.49296948820762,7.02368511149941e-06,0.00229419096414703
"AFUN018534",40.1699566089208,2.49561276548396,0.558553836689354,4.46798965749818,7.89581223947187e-06,0.00250320470968433
"AFUN017528",1624.47167757916,-5.7796205684301,1.31086749646205,-4.40900440664592,1.03846912441978e-05,0.00319818819774881
"AFUN019681",3913.09071345967,-1.84210978608912,0.423443830972539,-4.35030493149061,1.35948347438964e-05,0.00407052010290166
"AFUN020948",23.6114055776309,3.71849395092277,0.855949660931276,4.34429046548957,1.39726536933567e-05,0.00407057389623493
"AFUN017335",12207.7717578849,-5.68867901870824,1.34037407460163,-4.24409806672733,2.19474363137128e-05,0.00616760422437987
"AFUN021418",625.676093045902,1.41716481374066,0.334207923460092,4.24036868745837,2.23152949949731e-05,0.00616760422437987
"AFUN017697",3909.32612507571,-8.09725794062409,1.92018125729525,-4.21692374605812,2.47657674786194e-05,0.00667375519130097
"AFUN002627",98.3998899254553,-2.1039825274986,0.507711504001084,-4.14405131835284,3.41223331572571e-05,0.0089708446122457
"AFUN004839",5230.00261252932,-1.19911228235312,0.291542913334411,-4.11298723964417,3.90571982358071e-05,0.0100237509472325
"AFUN019105",1285.50584934886,1.39533935504833,0.339791614181268,4.10645612432318,4.0177573564212e-05,0.0100714898941544
"AFUN017429",666.239704541402,1.55251467959209,0.379062812790106,4.09566601420157,4.20956440032817e-05,0.0103124760616221
"AFUN017339",659.182729451529,-5.59362088227284,1.3721062782968,-4.07666736225144,4.56857757761812e-05,0.0109432661575879
"AFUN017526",5316.9970880612,-1.90428950593678,0.482096733296495,-3.95001536914714,7.81461751243609e-05,0.0179220770567125
"AFUN021750",225.017222585126,-1.74885744277633,0.442721957819434,-3.95023877150817,7.80732679916932e-05,0.0179220770567125
"AFUN018758",1060.70976240064,1.45540875966556,0.369514199833772,3.93870860800554,8.19213496038267e-05,0.0183964630704093
"AFUN007848",954.326667535242,-1.47122631902225,0.376190205206193,-3.91085758922366,9.19689893902176e-05,0.0188059275027034
"AFUN016259",364.745232488369,-1.51618038393551,0.38781453490592,-3.90955017790482,9.24681471048593e-05,0.0188059275027034
"AFUN016560",672.239984103799,1.23490931582462,0.315402392770695,3.91534542581112,9.02748667513175e-05,0.0188059275027034
"AFUN017368",274.940164520794,-7.11932548098896,1.81935361102923,-3.91310707156125,9.11161088747697e-05,0.0188059275027034
"AFUN021782",344.958066341246,-1.46423035434309,0.373808210712299,-3.91706311520811,8.96342873781144e-05,0.0188059275027034
"AFUN011853",19.8498094377874,-3.22659556603147,0.826634309863957,-3.9032925775395,9.48928766387312e-05,0.0189416725423867
"AFUN022012",30.5576983208309,2.59288615602621,0.665718620967244,3.89486800332988,9.82522192627895e-05,0.0192556485715202
"AFUN003098",527.475383400595,1.64578754853218,0.43009983782194,3.82652445735989,0.000129965242173412,0.0250159883104858
"AFUN017603",749.38818672001,-3.65666456080568,0.959516429211458,-3.8109452318714,0.000138436438180251,0.0261790590727181
"AFUN015739",490.961727071523,-1.75660090601765,0.462299584953319,-3.79970253746826,0.000144869872591986,0.0269233164942934
"AFUN019581",66.5278425668874,-2.40398567277304,0.633384818062103,-3.79545831257568,0.000147370957667317,0.0269239246219664
"AFUN021465",251.040533077352,1.37722202734072,0.367945805700337,3.74300238242792,0.00018183450424052,0.0326665686868095
"AFUN015794",741.375982121033,-1.36150020016113,0.36455800191245,-3.73466003494307,0.000187968932054902,0.0326793083648353
"AFUN021858",102.367145582254,-1.61292870690801,0.431461953232406,-3.73828722283472,0.000185278205896972,0.0326793083648353
"AFUN019847",673.126077452938,-1.58949442515388,0.426616406617956,-3.72581644891426,0.000194684039254001,0.033309512049506
"AFUN008783",265.704040393041,1.24672953114049,0.335583404537279,3.71511080191688,0.000203114671897446,0.0342089538809777
"AFUN017328",2467.1170445503,-1.72359481765535,0.467422855449839,-3.68744231814808,0.000226519418993508,0.0375638894974003
"AFUN017502",1100.2744367923,-11.0434651969832,3.00131411713766,-3.67954328203249,0.000233652032639888,0.038159625148869
"AFUN008042",118.774200284963,-1.57090013390941,0.427688776283291,-3.67299826654531,0.000239721110200869,0.0385664753261966
"AFUN015955",95.6179317482137,5.04418565085323,1.376694101365,3.66398435633006,0.000248321958291834,0.0387922085279373
"AFUN020817",341.605670659972,-1.28034901119831,0.34914192079872,-3.6671305704835,0.000245287559932134,0.0387922085279373
"AFUN019178",38.3167855154348,-2.27629955603684,0.627297821661733,-3.62873818054532,0.000284809907767848,0.0438566570832805
