"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFUN019265",1127.49290241269,8.87043657843407,0.697474360421848,12.7179392989716,4.7009460460645e-37,5.53019292859027e-33
"AFUN017381",661.849692677012,5.80413374251339,0.51171304970415,11.3425556488526,8.07512390509137e-30,4.74978788097474e-26
"AFUN008927",183.852545060457,5.61527730860928,0.642237913733207,8.74329775389425,2.26402980194975e-18,6.65851164753421e-15
"AFUN017679",14599.1502822922,-3.5064184975285,0.400348470592558,-8.75841611768525,1.98012994225429e-18,6.65851164753421e-15
"AFUN017614",5335.21771493507,-5.7531187045729,0.746968604643538,-7.70195516760488,1.33999904732927e-14,3.15274975855631e-11
"AFUN000622",1394.17141926945,3.12636559177248,0.41923755350328,7.45726513678842,8.83368319952268e-14,1.73199081931975e-10
"AFUN017740",575.311776461543,3.59100555024845,0.488108801878618,7.35697765831614,1.88120819681024e-13,3.16150474675366e-10
"AFUN019616",565.163560283123,4.37967954481402,0.61350310475675,7.13880583628102,9.41452054537156e-13,1.38440524619689e-09
"AFUN017861",379.804465565261,-6.51480261352304,0.920041952733499,-7.08098429008284,1.43134130284995e-12,1.87092212074743e-09
"AFUN018482",126.035561360652,4.90910280427162,0.705619302680124,6.95715492139399,3.47213081617545e-12,4.0846146921488e-09
"AFUN008237",654.963906034131,2.85123851576449,0.41255843049224,6.91111441441775,4.80861013562292e-12,5.14258996686073e-09
"AFUN004866",125.211491272154,4.21160038499457,0.615845951332956,6.83872383325546,7.99017464335317e-12,7.83303454203389e-09
"AFUN004704",1477.29288611318,4.22398758685055,0.633988074294632,6.66256631333343,2.69086835715544e-11,2.43502887335204e-08
"AFUN016450",134.723625703707,5.56985292347967,0.843960638143579,6.59965959518138,4.12102908262303e-11,3.4628418662841e-08
"AFUN017485",2223.38194908199,-3.37696537009587,0.524102915510105,-6.44332490844683,1.16884098194093e-10,9.16683020770205e-08
"AFUN020629",158.671736234904,3.91289244228437,0.60846375729853,6.43077323069645,1.269564465407e-10,9.33447273190497e-08
"AFUN017585",2568.29031607698,4.96005417110267,0.795562441217127,6.23465100176714,4.52786387850113e-10,3.13328180392278e-07
"AFUN006177",260.63651465238,3.03532889337957,0.493361507497614,6.15234234380202,7.63468524688714e-10,4.98969095802113e-07
"AFUN004006",171.416292903393,3.366857927583,0.556256030545965,6.05271267671189,1.42426773196804e-09,8.37754279943599e-07
"AFUN009404",1678.65268816908,2.55632669435753,0.421875098921788,6.0594396324668,1.36596579849315e-09,8.37754279943599e-07
"AFUN004867",2901.13072076508,2.66341664367774,0.441033542815813,6.03903418926586,1.55039395621736e-09,8.53191110570442e-07
"AFUN005952",98.0089554299547,3.51375951605222,0.582982259752559,6.02721516353447,1.6680887064876e-09,8.53191110570442e-07
"AFUN017350",324.32047659697,2.60669883745726,0.432310921324082,6.02968536967205,1.64279188474215e-09,8.53191110570442e-07
"AFUN016109",185.089457622331,3.54853167052196,0.592272172990663,5.99138678524054,2.08059143614385e-09,1.01983656894984e-06
"AFUN022154",89.5548086892417,5.08114604108297,0.85773588684914,5.92390515424085,3.14384823691843e-09,1.47936922636434e-06
"AFUN005104",944.674292187818,4.72224452221728,0.811494744759942,5.81919298025057,5.91324315497727e-09,2.57642194352417e-06
"AFUN017586",1622.45764086902,3.53819163872727,0.607442196331117,5.82473799169296,5.7202269302171e-09,2.57642194352417e-06
"AFUN017829",57.7655872887715,-9.18298219063377,1.59624362531195,-5.75287007886355,8.77409161388271e-09,3.68637191948987e-06
"AFUN017511",477.310916560967,5.29714625466288,0.921741176982519,5.74689119564346,9.08991790924558e-09,3.68737221670224e-06
"AFUN017580",766.161650281345,-5.93398435613766,1.03416578578343,-5.73794302394409,9.58333421913250e-09,3.75794479179582e-06
"AFUN017775",2162.77757804122,3.74279568666996,0.653521224424855,5.72712185432674,1.02148798629511e-08,3.87638215186311e-06
"AFUN022148",1167.59265454978,2.24237379042819,0.392453987465241,5.71372405950339,1.10530176079329e-08,4.06336559811633e-06
"AFUN017652",227.66232012721,-2.68138732037582,0.484208120876215,-5.53767523668051,3.0651295364136e-08,1.09267223837484e-05
"AFUN008925",874.41872229102,2.73567041432979,0.495613192204817,5.51976916142952,3.39445279851326e-08,1.17448066828559e-05
"AFUN008740",77.6423845370127,5.32019183076633,0.969498778488799,5.4875694006125,4.07501935722912e-08,1.36967222052695e-05
"AFUN001498",107.554433605474,3.30707958220512,0.604407888322267,5.47160228398906,4.45984817296423e-08,1.45737927518753e-05
"AFUN017375",566.440124301584,4.09171677974721,0.748771960148095,5.46456998595132,4.64030282178267e-08,1.47536547014733e-05
"AFUN007478",5340.04870735257,2.69677636939994,0.496973341746615,5.42640045826624,5.75018693796635e-08,1.78013681942727e-05
"AFUN017480",145.627493544388,6.56627030917454,1.21308323349801,5.41287697979324,6.20201015121135e-08,1.87078070304744e-05
"AFUN022135",132.521698714125,5.3876449891452,1.00772041648647,5.34636879535477,8.97362752135974e-08,2.6391438540319e-05
"AFUN018693",670.819793245786,2.46998127136784,0.463742106504693,5.32619582462444,1.00291006462218e-07,2.87761804883299e-05
"AFUN015769",37.3950900094171,5.03495105725596,0.94901020562703,5.30547619762346,1.12379232168443e-07,3.00461201643084e-05
"AFUN017784",115.560350746362,-4.6582674505332,0.877695603485089,-5.30738382650716,1.11209839373436e-07,3.00461201643084e-05
"AFUN017833",574.778957669522,25.3926076288261,4.78484404065776,5.30688302754701,1.11515688407194e-07,3.00461201643084e-05
"AFUN021392",176.427979975611,2.77913101050106,0.525499606274504,5.28855012890216,1.23289702564815e-07,3.22306680216108e-05
