	condition
perm_res_51	resistant
perm_res_52	resistant
perm_res_53	resistant
perm_res_54	resistant
perm_res_55	resistant
perm_res_56	resistant
perm_res_57	resistant
perm_res_58	resistant
perm_res_59	resistant
perm_res_60	resistant
perm_res_61	resistant
perm_res_62	resistant
perm_res_63	resistant
perm_res_64	resistant
perm_res_65	resistant
perm_res_66	resistant
perm_res_67	resistant
perm_res_68	resistant
perm_res_69	resistant
perm_res_70	resistant
perm_res_71	resistant
perm_res_72	resistant
perm_res_73	resistant
perm_res_74	resistant
perm_res_75	resistant
sus_kis_1	susceptible
sus_kis_2	susceptible
sus_kis_3	susceptible
sus_kis_4	susceptible
sus_kis_5	susceptible
sus_kis_6	susceptible
sus_kis_7	susceptible
sus_kis_8	susceptible
sus_kis_9	susceptible
sus_kis_10	susceptible
sus_kis_12	susceptible
sus_kis_13	susceptible
sus_kis_14	susceptible
sus_kis_15	susceptible
sus_kis_16	susceptible
sus_kis_18	susceptible
sus_kis_19	susceptible
sus_kis_20	susceptible
sus_kis_21	susceptible
sus_kis_22	susceptible
sus_kis_23	susceptible
sus_kis_24	susceptible
sus_kis_25	susceptible
