	condition
unexp_26	unexposed
unexp_27	unexposed
unexp_28	unexposed
unexp_29	unexposed
unexp_30	unexposed
unexp_31	unexposed
unexp_32	unexposed
unexp_33	unexposed
unexp_34	unexposed
unexp_35	unexposed
unexp_36	unexposed
unexp_37	unexposed
unexp_38	unexposed
unexp_39	unexposed
unexp_40	unexposed
unexp_41	unexposed
unexp_42	unexposed
unexp_43	unexposed
unexp_44	unexposed
unexp_45	unexposed
unexp_46	unexposed
unexp_47	unexposed
unexp_48	unexposed
unexp_49	unexposed
unexp_50	unexposed
sus_kis_1	susceptible
sus_kis_2	susceptible
sus_kis_3	susceptible
sus_kis_4	susceptible
sus_kis_5	susceptible
sus_kis_6	susceptible
sus_kis_7	susceptible
sus_kis_8	susceptible
sus_kis_9	susceptible
sus_kis_10	susceptible
sus_kis_12	susceptible
sus_kis_13	susceptible
sus_kis_14	susceptible
sus_kis_15	susceptible
sus_kis_16	susceptible
sus_kis_18	susceptible
sus_kis_19	susceptible
sus_kis_20	susceptible
sus_kis_21	susceptible
sus_kis_22	susceptible
sus_kis_23	susceptible
sus_kis_24	susceptible
sus_kis_25	susceptible
