"","kombewa_05_susceptible","komb_06_susceptible","komb_04_susceptible","PortVict_susceptible","teso_susceptible","kombe_01_resistant","komb_02_resistant","Siaya_resistant","PortVict_resistant","Teso_resistant"
"AFUN000003",114.932697651801,141.445435965224,144.747369091715,66.4791727484791,94.8325197384466,161.375680127014,193.711356131745,104.477381375222,149.222979641752,128.598169493901
"AFUN000006",42.1904839481295,20.2064908521748,53.1725029316503,21.7776600382949,39.9294819951354,50.9607410927414,58.4788999643004,37.0148436872213,64.4014964769667,52.4545165040914
"AFUN000007",2505.96926209148,1524.81288661412,1502.12320781912,2464.3141622281,1367.58475833339,2389.74990427325,1609.99721464214,1950.44345687342,1813.45189469898,1851.70083530034
"AFUN000008",648.133124099713,892.194288396027,864.053172639317,578.827279965206,471.667006067537,548.986165408169,643.267899607304,585.670349309099,971.520135878145,923.312295883845
"AFUN000009",779.069108766321,1122.23741502079,1091.51332406915,811.504384584883,712.491694350697,755.145527101531,1167.75053366212,894.923398179755,972.305519981522,843.220453479748
"AFUN000011",1512.31062289933,1754.85601323888,1850.69850481549,1769.72142626986,2765.11662816313,1682.47658850126,1918.83890507861,1607.16063235484,1463.17058459255,1367.20159146148
"AFUN000012",1793.0955677955,2474.51795666633,2685.21139804834,1039.59671867018,1597.17927980542,1747.33571352839,2224.0256642673,1534.92198580397,1416.04753838989,1854.52097059626
"AFUN000013",87.2906564444058,48.1847089551861,60.5575727832684,111.180685458663,29.9471114963516,107.326409271077,56.651434340416,115.820639924531,187.706800707257,156.235495393907
"AFUN000014",121.479496885131,192.738835820744,147.701397032362,96.2801812219352,143.496575920018,141.300236666237,201.021218627283,121.790776003115,128.017608850556,156.235495393907
"AFUN000015",3.63711068518357,4.66303635050188,5.90805588129448,5.73096316797234,31.1949078086995,6.94919196719201,3.65493124776877,0.597013607858409,0,6.20429765102156
"AFUN000018",328.794805940595,449.205835098348,438.673149186115,158.174583436036,345.639578520391,319.662830490832,442.246680980022,280.596395693452,444.527402511746,402.151293198034
"AFUN000019",1208.24816961798,848.672615791343,865.530186609641,591.435398934745,736.199824285309,1134.2625555339,873.528568216737,1180.29590273607,1388.55909477167,2104.38495781468
"AFUN000020",786.343330136689,1241.92201468367,1070.83512848462,2360.01063257101,1573.4711498708,889.496571800577,1288.36326483849,1075.22150775299,402.116660929353,437.684997926612
"AFUN000021",76.379324388855,73.0542361578628,67.9426426348865,81.3796769852072,158.470131668194,128.946117613452,113.302868680832,124.775844042407,130.373761160689,213.766255430652
"AFUN000022",1514.49288931044,1972.4643762623,2045.66434889821,1534.75193638299,2350.8482524636,1312.62514935849,1591.7225584033,1054.32603147795,873.347122955939,1006.22427358386
"AFUN000027",153.486070914747,192.738835820744,190.534802171747,144.420271832903,158.470131668194,162.919945008613,226.605737361664,106.268422198797,85.6068672681631,90.2443294694045
"AFUN000028",220.408907522125,194.293181270912,143.270355121391,55.0172464125344,103.567093924882,243.993851292519,193.711356131745,152.238470003894,305.514416213903,319.239315498018
"AFUN000029",176.763579299922,205.173599422083,214.167025696925,136.396923397742,129.77081648419,243.993851292519,268.637446711005,186.268245651824,177.496807363347,157.363549512274
"AFUN000030",2406.31242931745,3386.91873591453,3428.14942512112,1282.58955699221,1222.84038610102,2550.35345195947,3647.62138527324,2884.76975317183,1767.1142325997,1627.78209280438
"AFUN000031",118.569808336984,118.130254212714,147.701397032362,50.4324758781566,86.0979455520107,138.98383934384,182.746562388439,94.3281500416286,128.017608850556,143.826900091863
"AFUN000032",210.224997603611,150.771508666228,183.149732320129,122.642611794608,104.81489023723,247.082381055716,217.468409242242,237.611415927647,327.505171108477,372.821886120477
"AFUN000033",952.195577381059,1296.32410543952,1283.52514021122,1292.90529069456,813.563195650884,914.204809906148,1233.53929612196,1020.89326943788,1143.51925451785,743.951691063403
"AFUN000035",1940.03483947692,1285.44368728835,1400.20924386679,1934.77316550746,1211.61021928989,1579.01084143418,1184.19772427708,1865.66752455753,2075.77018522711,2159.0955825555
"AFUN000036",426.269372303515,298.434326432121,333.805157293138,394.290265956497,228.346725159681,420.812180235516,332.598743546958,300.894858360638,326.7197870051,452.34970146539
"AFUN000037",189.129755629546,181.858417669573,212.690011726601,152.443620268064,131.018612796538,248.626645937314,171.781768645132,191.044354514691,247.395992563958,274.6811778225
"AFUN000038",3769.50151412426,5273.89411241763,5215.3363292127,4079.29958296271,4106.49766393721,3640.60445836781,4736.79089710833,3522.97729997247,3311.17937984014,2863.00135241686
"AFUN000039",13687.9023526199,10359.712425365,10353.8679319686,11253.3192766305,8003.36554739995,14466.6734108122,10941.0366901958,12402.9577032584,10313.6640455552,9727.21066268344
"AFUN000040",39.2807953999826,32.6412544535132,32.4943073471196,21.7776600382949,26.2037225593076,47.8722113295449,20.1021218627283,14.3283265886018,10.2099933439094,22.5610823673511
"AFUN000041",116.387541925874,74.6085816080301,101.91396395233,154.736005535253,183.426057915153,118.136263442264,105.993006185294,91.9400956101949,129.588377057311,261.708555461273
"AFUN000042",262.599391470254,122.793290563216,110.776047774271,279.67100259705,118.540649673058,310.397241201243,138.887387415213,327.760470714266,324.363634694967,289.345881361278
"AFUN000043",15.275864877771,9.32607270100377,14.7701397032362,13.7543116031336,22.4603336222637,13.898383934384,5.48239687165316,15.5223538043186,8.63922513715408,6.76832471020534
"AFUN000044",1179.15128413651,1013.43323350908,937.903871155498,1237.88804428202,2520.54855094292,846.257155115826,723.676387058217,932.535255474834,970.734751774767,1076.72765598183
"AFUN000046",902.003449925526,738.314088829465,719.305803547602,724.393744431703,794.846250965664,932.735988485327,548.239687165316,1075.81852136085,651.083421700066,850.552805249137
"AFUN000047",251.688059414703,178.749726769239,158.040494824627,187.975591909493,96.0803160507946,278.739811128479,202.848684251167,265.074041889133,252.893681287601,346.31261433884
"AFUN000052",526.653627214581,411.901544294333,384.023632284141,2220.17513127248,1405.01864770383,471.772921328257,308.841690436461,1268.05690309126,1262.89763823125,595.61257449807
