"","Siaya_resistant","Siaya_susceptible","komb_02_resistant","komb_06_susceptible"
"AFUN000003",104.911450480679,104.186024483465,194.455493707569,142.300010751218
"AFUN000006",37.1686281702977,37.2508690890602,58.7035452702094,20.3285729644598
"AFUN000007",1958.54690697359,2022.02373774055,1616.18198072045,1534.02539062577
"AFUN000008",588.103616694549,371.926646061085,645.738997972303,897.584683199993
"AFUN000009",898.641510117359,577.388470880432,1172.23641961449,1129.01766771846
"AFUN000011",1613.83785539422,1589.56442940974,1926.21007917875,1765.45837514424
"AFUN000012",1541.29908106186,1462.67865657513,2232.56920605765,2489.46831995538
"AFUN000013",116.301836532867,83.2324106208688,56.8690594805153,48.4758278383271
"AFUN000014",122.296776560334,129.213952152677,201.793436866345,193.903311353309
"AFUN000015",0.599494002746737,16.2972552264638,3.66897157938809,4.69120914564456
"AFUN000018",281.762181290967,303.24535617813,443.945561105958,451.919814363759
"AFUN000019",1185.1996434303,1101.81086227486,876.884207473753,853.80006450731
"AFUN000020",1079.68869894687,1094.82632432066,1293.3124817343,1249.42536912334
"AFUN000021",125.294246574068,123.393503857512,113.738118961031,73.4956099484315
"AFUN000022",1058.70640885074,1768.83423690084,1597.83712282351,1984.38146860765
"AFUN000027",106.709932488919,98.947621017816,227.476237922061,193.903311353309
"AFUN000028",152.870970700418,174.031404025453,194.455493707569,195.46704773519
"AFUN000029",187.042128856982,185.090255786268,269.669411085024,206.413202408361
"AFUN000030",2896.75502127224,1244.99389033593,3661.63363622931,3407.38157611983
"AFUN000031",94.7200524339845,97.2014865292664,183.448578969404,118.843965022996
"AFUN000032",238.598613093201,158.898238458022,218.303808973591,151.682429042507
"AFUN000033",1025.13474469692,690.887212636163,1238.27790804348,1304.15614248919
"AFUN000035",1873.41875858355,1758.35742996954,1188.74679172174,1293.20998781602
"AFUN000036",302.144977384356,341.660314926224,333.876413724316,300.237385321252
"AFUN000037",191.838080878956,180.433897150135,172.44166423124,182.957156680138
"AFUN000038",3537.6141102085,2796.14336099758,4754.98716688696,5305.757543724
"AFUN000039",12454.4879070635,10073.4498644432,10983.0664228982,10422.3029852403
"AFUN000040",14.3878560659217,25.0279276692123,20.1793436866345,32.8384640195119
"AFUN000041",92.3220764229976,264.830397430037,106.400175802254,75.059346330313
"AFUN000042",329.122207507959,226.415438681944,139.420920016747,123.53517416864
"AFUN000043",15.5868440714152,20.3715690330798,5.50345736908213,9.38241829128912
"AFUN000044",936.409632290404,1736.82177127743,726.456372718841,1019.55612098675
"AFUN000046",1080.28819294962,687.394943659063,550.345736908213,742.774781393722
"AFUN000047",266.175337219551,196.731152376599,203.627922656039,179.829683916375
"AFUN000052",1273.32526183407,1897.466144224,310.028098458293,414.390141198603
"AFUN000053",8.99241004120106,40.7431380661596,12.8414005278583,6.25494552752608
"AFUN000054",0,19.7895242035632,0,4.69120914564456
"AFUN000055",3065.21283604407,4069.07540315031,2239.90714921643,2708.39141341879
"AFUN000057",20.9822900961358,61.1147070992393,58.7035452702094,42.2208823108011
"AFUN000058",11415.5648003034,9951.22045024471,13756.8089369156,14580.2780246633
"AFUN000060",42.5640741950184,38.9970035776099,33.0207442144928,40.6571459289195
"AFUN000061",31.7731821455771,59.3685726106896,18.3448578969404,86.0055010034836
"AFUN000062",20.3827960933891,34.9226897709939,22.0138294763285,70.3681371846684
"AFUN000071",214.019358980585,149.585521185757,104.56569001256,123.53517416864
"AFUN000077",3196.5020226456,4271.04495899255,1887.68587759517,2805.34306909545
"AFUN000078",455.015948084774,442.936115262106,1260.29173751981,1265.06273294215
"AFUN000079",95.919040439478,66.935155394405,108.234661591949,111.025283113588
"AFUN000080",1553.2889611168,1297.95996982194,2109.65865814815,2039.1122419735
"AFUN000081",192.437574881703,165.300731582704,155.931292123994,132.917592459929
"AFUN000082",2309.85039258318,3395.64953539964,1896.85830654364,2789.70570527663
"AFUN000083",70.1407983213683,95.4553520407167,38.5242015835749,75.059346330313
"AFUN000085",252.386975156376,377.165049526734,210.965865814815,228.305511754702
"AFUN000087",1158.2224133067,832.906151038204,891.560093791305,824.089073251561
"AFUN000088",475.998238180909,398.11866338933,675.090770607408,550.435206422295
"AFUN000089",367.48982368375,288.694235440216,282.510811612883,254.889030246688
"AFUN000090",205.026948939384,111.75260726718,146.758863175523,112.589019495469
"AFUN000091",139.082608637243,82.0683209618357,135.751948437359,117.280228641114
"AFUN000092",94.1205584312378,53.548124315524,93.5587752743962,67.2406644209054
"AFUN000093",1344.06555415819,1004.60937574559,777.821974830274,839.726437070377
"AFUN000095",186.442634854235,131.542131470744,218.303808973591,167.319792861323
"AFUN000096",58.1509182664335,44.2354070432589,51.3656021114332,20.3285729644598
"AFUN000097",1240.353091683,1880.0047993385,2184.87257552561,2298.69248136584
"AFUN000098",161.863380741619,114.662831414763,289.848754771659,214.231884317768
"AFUN000099",37.1686281702977,18.0433897150135,62.3725168495975,39.093409547038
"AFUN000100",47.3600262169923,25.6099724987289,66.0414884289855,25.0197821101043
"AFUN000101",32.3726761483238,59.9506174402062,7.33794315877617,54.7307733658532
"AFUN000102",1.79848200824021,9.89476210178161,0,6.25494552752608
"AFUN000103",116.301836532867,90.2169485750676,66.0414884289855,62.5494552752608
"AFUN000104",275.167747260752,129.795996982194,291.683240561353,203.285729644598
"AFUN000105",127.692222585055,105.932158972015,262.331467926248,198.594520498953
"AFUN000106",1555.08744312504,1770.58037138939,3089.27406984477,2938.26066155538
"AFUN000108",9.5919040439478,10.4768069312982,16.5103721072464,7.8186819094076
