	condition
perm_res_51	resistant
perm_res_52	resistant
perm_res_53	resistant
perm_res_54	resistant
perm_res_55	resistant
perm_res_56	resistant
perm_res_57	resistant
perm_res_58	resistant
perm_res_59	resistant
perm_res_60	resistant
perm_res_61	resistant
perm_res_62	resistant
perm_res_63	resistant
perm_res_64	resistant
perm_res_65	resistant
perm_res_66	resistant
perm_res_67	resistant
perm_res_68	resistant
perm_res_69	resistant
perm_res_70	resistant
perm_res_71	resistant
perm_res_72	resistant
perm_res_73	resistant
perm_res_74	resistant
perm_res_75	resistant
delta_res_76	resistant
delta_res_77	resistant
delta_res_79	resistant
delta_res_80	resistant
delta_res_81	resistant
delta_res_82	resistant
delta_res_83	resistant
delta_res_84	resistant
delta_res_85	resistant
delta_res_86	resistant
delta_res_87	resistant
delta_res_88	resistant
delta_res_89	resistant
delta_res_90	resistant
delta_res_91	resistant
delta_res_92	resistant
delta_res_93	resistant
delta_res_94	resistant
delta_res_95	resistant
delta_res_96	resistant
delta_res_97	resistant
delta_res_98	resistant
delta_res_99	resistant
delta_res_100	resistant
pm_res_101	resistant
pm_res_102	resistant
pm_res_103	resistant
pm_res_104	resistant
pm_res_105	resistant
pm_res_106	resistant
pm_res_107	resistant
pm_res_108	resistant
pm_res_109	resistant
pm_res_110	resistant
pm_res_111	resistant
pm_res_112	resistant
pm_res_113	resistant
pm_res_114	resistant
pm_res_115	resistant
pm_res_116	resistant
pm_res_117	resistant
pm_res_118	resistant
pm_res_119	resistant
pm_res_120	resistant
pm_res_121	resistant
pm_res_122	resistant
pm_res_123	resistant
pm_res_124	resistant
pm_res_125	resistant
sus_kis_1	susceptible
sus_kis_2	susceptible
sus_kis_3	susceptible
sus_kis_4	susceptible
sus_kis_5	susceptible
sus_kis_6	susceptible
sus_kis_7	susceptible
sus_kis_8	susceptible
sus_kis_9	susceptible
sus_kis_10	susceptible
sus_kis_12	susceptible
sus_kis_13	susceptible
sus_kis_14	susceptible
sus_kis_15	susceptible
sus_kis_16	susceptible
sus_kis_18	susceptible
sus_kis_19	susceptible
sus_kis_20	susceptible
sus_kis_21	susceptible
sus_kis_22	susceptible
sus_kis_23	susceptible
sus_kis_24	susceptible
sus_kis_25	susceptible
