	condition
perm_res_51	resistant
perm_res_52	resistant
perm_res_53	resistant
perm_res_54	resistant
perm_res_55	resistant
perm_res_56	resistant
perm_res_57	resistant
perm_res_58	resistant
perm_res_59	resistant
perm_res_60	resistant
perm_res_61	resistant
perm_res_62	resistant
perm_res_63	resistant
perm_res_64	resistant
perm_res_65	resistant
perm_res_66	resistant
perm_res_67	resistant
perm_res_68	resistant
perm_res_69	resistant
perm_res_70	resistant
perm_res_71	resistant
perm_res_72	resistant
perm_res_73	resistant
perm_res_74	resistant
perm_res_75	resistant
unexp_26	unexposed
unexp_27	unexposed
unexp_28	unexposed
unexp_29	unexposed
unexp_30	unexposed
unexp_31	unexposed
unexp_32	unexposed
unexp_33	unexposed
unexp_34	unexposed
unexp_35	unexposed
unexp_36	unexposed
unexp_37	unexposed
unexp_38	unexposed
unexp_39	unexposed
unexp_40	unexposed
unexp_41	unexposed
unexp_42	unexposed
unexp_43	unexposed
unexp_44	unexposed
unexp_45	unexposed
unexp_46	unexposed
unexp_47	unexposed
unexp_48	unexposed
unexp_49	unexposed
unexp_50	unexposed
