	condition
pm_res_101	resistant
pm_res_102	resistant
pm_res_103	resistant
pm_res_104	resistant
pm_res_105	resistant
pm_res_106	resistant
pm_res_107	resistant
pm_res_108	resistant
pm_res_109	resistant
pm_res_110	resistant
pm_res_111	resistant
pm_res_112	resistant
pm_res_113	resistant
pm_res_114	resistant
pm_res_115	resistant
pm_res_116	resistant
pm_res_117	resistant
pm_res_118	resistant
pm_res_119	resistant
pm_res_120	resistant
pm_res_121	resistant
pm_res_122	resistant
pm_res_123	resistant
pm_res_124	resistant
pm_res_125	resistant
unexp_26	unexposed
unexp_27	unexposed
unexp_28	unexposed
unexp_29	unexposed
unexp_30	unexposed
unexp_31	unexposed
unexp_32	unexposed
unexp_33	unexposed
unexp_34	unexposed
unexp_35	unexposed
unexp_36	unexposed
unexp_37	unexposed
unexp_38	unexposed
unexp_39	unexposed
unexp_40	unexposed
unexp_41	unexposed
unexp_42	unexposed
unexp_43	unexposed
unexp_44	unexposed
unexp_45	unexposed
unexp_46	unexposed
unexp_47	unexposed
unexp_48	unexposed
unexp_49	unexposed
unexp_50	unexposed
