	condition
pm_res_101	resistant
pm_res_102	resistant
pm_res_103	resistant
pm_res_104	resistant
pm_res_105	resistant
pm_res_106	resistant
pm_res_107	resistant
pm_res_108	resistant
pm_res_109	resistant
pm_res_110	resistant
pm_res_111	resistant
pm_res_112	resistant
pm_res_113	resistant
pm_res_114	resistant
pm_res_115	resistant
pm_res_116	resistant
pm_res_117	resistant
pm_res_118	resistant
pm_res_119	resistant
pm_res_120	resistant
pm_res_121	resistant
pm_res_122	resistant
pm_res_123	resistant
pm_res_124	resistant
pm_res_125	resistant
sus_kis_1	susceptible
sus_kis_2	susceptible
sus_kis_3	susceptible
sus_kis_4	susceptible
sus_kis_5	susceptible
sus_kis_6	susceptible
sus_kis_7	susceptible
sus_kis_8	susceptible
sus_kis_9	susceptible
sus_kis_10	susceptible
sus_kis_12	susceptible
sus_kis_13	susceptible
sus_kis_14	susceptible
sus_kis_15	susceptible
sus_kis_16	susceptible
sus_kis_18	susceptible
sus_kis_19	susceptible
sus_kis_20	susceptible
sus_kis_21	susceptible
sus_kis_22	susceptible
sus_kis_23	susceptible
sus_kis_24	susceptible
sus_kis_25	susceptible
