"","PortVict_resistant","PortVict_susceptible","PortVict_susceptible.1","PortVict_resistant.1"
"AFUN000003",155.134350376268,71.0352025407122,71.0352025407122,155.134350376268
"AFUN000006",66.9527196360735,23.2701525564402,23.2701525564402,66.9527196360735
"AFUN000007",1885.29060536212,2633.20147349192,2633.20147349192,1885.29060536212
"AFUN000008",1010.0062706076,618.496160052753,618.496160052753,1010.0062706076
"AFUN000009",1010.82276718852,867.119368945245,867.119368945245,1010.82276718852
"AFUN000011",1521.13313026835,1891.00608142861,1891.00608142861,1521.13313026835
"AFUN000012",1472.14333541269,1110.84359835217,1110.84359835217,1472.14333541269
"AFUN000013",195.142682841726,118.800252524984,118.800252524984,195.142682841726
"AFUN000014",133.088942691219,102.878569196893,102.878569196893,133.088942691219
"AFUN000018",462.137064805093,169.014792252039,169.014792252039,462.137064805093
"AFUN000019",1443.56595508022,631.96835363806,631.96835363806,1443.56595508022
"AFUN000020",418.046249434996,2521.74969019528,2521.74969019528,418.046249434996
"AFUN000021",135.538432434003,86.9568858688028,86.9568858688028,135.538432434003
"AFUN000022",907.944197991631,1639.93338279334,1639.93338279334,907.944197991631
"AFUN000027",88.9981273211221,154.31785379534,154.31785379534,88.9981273211221
"AFUN000028",317.617169980885,58.7877538267963,58.7877538267963,317.617169980885
"AFUN000029",184.528227289666,145.744639695599,145.744639695599,184.528227289666
"AFUN000030",1837.11730708738,1370.48951108719,1370.48951108719,1837.11730708738
"AFUN000031",133.088942691219,53.8887743412299,53.8887743412299,133.088942691219
"AFUN000032",340.479074246862,131.0477012389,131.0477012389,340.479074246862
"AFUN000033",1188.81902183077,1381.51221492971,1381.51221492971,1188.81902183077
"AFUN000035",2158.00046339198,2067.369342909,2067.369342909,2158.00046339198
"AFUN000036",339.662577665934,421.312235758707,421.312235758707,339.662577665934
"AFUN000037",257.196422992234,162.891067895081,162.891067895081,257.196422992234
"AFUN000038",3442.34958519129,4358.86699728267,4358.86699728267,3442.34958519129
"AFUN000039",10722.2331007429,12024.5451473226,12024.5451473226,10722.2331007429
"AFUN000040",10.6144555520604,23.2701525564402,23.2701525564402,10.6144555520604
"AFUN000041",134.721935853075,165.340557637865,165.340557637865,134.721935853075
"AFUN000042",337.213087923151,298.837748619548,298.837748619548,337.213087923151
"AFUN000044",1009.18977402667,1322.72446110292,1322.72446110292,1009.18977402667
"AFUN000046",676.875665589085,774.038758719484,774.038758719484,676.875665589085
"AFUN000047",262.911899058728,200.858158908221,200.858158908221,262.911899058728
"AFUN000052",1312.92650213178,2372.33081588551,2372.33081588551,1312.92650213178
"AFUN000053",13.8804418757713,13.4721935853075,13.4721935853075,13.8804418757713
"AFUN000055",2407.84841715586,3415.81344631114,3415.81344631114,2407.84841715586
"AFUN000057",13.0639452948436,53.8887743412299,53.8887743412299,13.0639452948436
"AFUN000058",9448.49843449564,18634.493218223,18634.493218223,9448.49843449564
"AFUN000060",75.9341820262785,47.765049984272,47.765049984272,75.9341820262785
"AFUN000061",25.3113940087595,142.070405081424,142.070405081424,25.3113940087595
"AFUN000062",6.53197264742181,170.239537123431,170.239537123431,6.53197264742181
"AFUN000071",251.48094692574,280.466575548674,280.466575548674,251.48094692574
"AFUN000077",3747.71930645826,5417.046566165,5417.046566165,3747.71930645826
"AFUN000078",470.30203061437,346.60279860382,346.60279860382,470.30203061437
"AFUN000079",169.014792252039,102.878569196893,102.878569196893,169.014792252039
"AFUN000080",1829.76883785903,1294.55532906091,1294.55532906091,1829.76883785903
"AFUN000081",305.36972126697,314.759431947638,314.759431947638,305.36972126697
"AFUN000082",2865.08650247539,3448.88155783872,3448.88155783872,2865.08650247539
"AFUN000083",74.3011888644231,120.024997396376,120.024997396376,74.3011888644231
"AFUN000085",411.514276787574,264.544892220583,264.544892220583,411.514276787574
"AFUN000087",1832.21832760182,705.453045921555,705.453045921555,1832.21832760182
"AFUN000088",709.535528826194,488.673203685244,488.673203685244,709.535528826194
"AFUN000089",322.516149466452,536.438253669516,536.438253669516,322.516149466452
"AFUN000090",210.656117879353,193.509689679871,193.509689679871,210.656117879353
"AFUN000091",100.42907945411,377.221420388609,377.221420388609,100.42907945411
"AFUN000092",116.759011072665,33.0681115275729,33.0681115275729,116.759011072665
"AFUN000093",1701.57887465338,1299.45430854648,1299.45430854648,1701.57887465338
"AFUN000095",225.353056336052,161.66632302369,161.66632302369,225.353056336052
"AFUN000096",33.4763598180368,75.9341820262785,75.9341820262785,33.4763598180368
"AFUN000097",1435.40098927094,1127.99002655165,1127.99002655165,1435.40098927094
"AFUN000098",167.381799090184,90.6311204829776,90.6311204829776,167.381799090184
"AFUN000099",46.5403051128804,36.7423461417477,36.7423461417477,46.5403051128804
"AFUN000100",15.5134350376268,85.7321409974112,85.7321409974112,15.5134350376268
"AFUN000101",9.79795897113271,31.8433666561813,31.8433666561813,9.79795897113271
"AFUN000103",54.7052709221576,181.262240965955,181.262240965955,54.7052709221576
"AFUN000104",88.1816307401944,429.885449858448,429.885449858448,88.1816307401944
"AFUN000105",130.639452948436,73.4846922834953,73.4846922834953,130.639452948436
"AFUN000106",2211.07274115228,504.594887013335,504.594887013335,2211.07274115228
"AFUN000109",1993.06815404458,3946.1279756237,3946.1279756237,1993.06815404458
"AFUN000110",1174.12208337407,921.008143286475,921.008143286475,1174.12208337407
"AFUN000111",410.697780206646,781.387227947834,781.387227947834,410.697780206646
"AFUN000114",218.004587107703,644.215802351976,644.215802351976,218.004587107703
"AFUN000117",2176.77988475332,2671.16856450506,2671.16856450506,2176.77988475332
"AFUN000118",57.1547606649408,206.981883265179,206.981883265179,57.1547606649408
"AFUN000119",332.314108437584,391.918358845309,391.918358845309,332.314108437584
"AFUN000120",119.208500815448,88.1816307401944,88.1816307401944,119.208500815448
"AFUN000121",93.8971068066885,173.913771737606,173.913771737606,93.8971068066885
"AFUN000122",46.5403051128804,62.461988440971,62.461988440971,46.5403051128804
"AFUN000125",345.378053732428,347.827543475211,347.827543475211,345.378053732428
"AFUN000126",74.3011888644231,58.7877538267963,58.7877538267963,74.3011888644231
"AFUN000130",231.885028983474,63.6867333123626,63.6867333123626,231.885028983474
"AFUN000133",41.641325627314,19.5959179422654,19.5959179422654,41.641325627314
"AFUN000134",36.7423461417477,68.585712797929,68.585712797929,36.7423461417477
"AFUN000136",3462.76199971449,4214.34710245846,4214.34710245846,3462.76199971449
"AFUN000139",80.8331615118449,131.0477012389,131.0477012389,80.8331615118449
"AFUN000140",44.0908153700972,42.8660704987056,42.8660704987056,44.0908153700972
"AFUN000148",97.9795897113271,60.0124986981879,60.0124986981879,97.9795897113271
"AFUN000149",182.895234127811,39.1918358845309,39.1918358845309,182.895234127811
"AFUN000150",31.0268700752536,15.9216833280907,15.9216833280907,31.0268700752536
"AFUN000151",1226.37786455344,598.900242110487,598.900242110487,1226.37786455344
"AFUN000153",106.144555520604,24.4948974278318,24.4948974278318,106.144555520604
"AFUN000154",31.0268700752536,33.0681115275729,33.0681115275729,31.0268700752536
"AFUN000157",156.767343538123,133.497190981683,133.497190981683,156.767343538123
"AFUN000159",43.2743187891695,61.2372435695795,61.2372435695795,43.2743187891695
"AFUN000163",981.428890275127,978.57115224188,978.57115224188,981.428890275127
"AFUN000164",102.062072615966,75.9341820262785,75.9341820262785,102.062072615966
"AFUN000165",1824.86985837347,2921.01651826894,2921.01651826894,1824.86985837347
"AFUN000166",36.7423461417477,64.9114781837542,64.9114781837542,36.7423461417477
"AFUN000167",23.6784008469041,44.0908153700972,44.0908153700972,23.6784008469041
"AFUN000168",111.860031587098,120.024997396376,120.024997396376,111.860031587098
"AFUN000169",480.916486166431,268.219126834758,268.219126834758,480.916486166431
"AFUN000178",0.816496580927726,58.7877538267963,58.7877538267963,0.816496580927726
"AFUN000179",311.085197333464,368.648206288868,368.648206288868,311.085197333464
"AFUN000180",631.151857057132,1125.54053680887,1125.54053680887,631.151857057132
"AFUN000181",26.1278905896872,11.0227038425243,11.0227038425243,26.1278905896872
"AFUN000183",378.037916969537,189.835455065696,189.835455065696,378.037916969537
"AFUN000186",411.514276787574,341.703819118253,341.703819118253,411.514276787574
"AFUN000188",2632.38497691099,1789.35225710311,1789.35225710311,2632.38497691099
"AFUN000189",129.822956367508,322.107901175988,322.107901175988,129.822956367508
"AFUN000190",62.8702367314349,368.648206288868,368.648206288868,62.8702367314349
"AFUN000191",13.0639452948436,39.1918358845309,39.1918358845309,13.0639452948436
"AFUN000192",151.051867471629,88.1816307401944,88.1816307401944,151.051867471629
"AFUN000193",1479.49180464104,782.611972819225,782.611972819225,1479.49180464104
"AFUN000194",1407.6401055194,990.818600955796,990.818600955796,1407.6401055194
"AFUN000195",624.61988440971,246.173719149709,246.173719149709,624.61988440971
"AFUN000197",1146.36119962253,1441.5247136279,1441.5247136279,1146.36119962253
"AFUN000200",2315.58430351103,1518.68364052557,1518.68364052557,2315.58430351103
"AFUN000201",792.818180080822,352.726522960778,352.726522960778,792.818180080822
"AFUN000202",603.390973305589,1571.34766999541,1571.34766999541,603.390973305589
"AFUN000203",136.35492901493,95.530099968544,95.530099968544,136.35492901493
"AFUN000204",1137.37973723232,1393.75966364363,1393.75966364363,1137.37973723232
"AFUN000205",751.176854453508,906.311204829776,906.311204829776,751.176854453508
"AFUN000206",430.293698148912,297.613003748156,297.613003748156,430.293698148912
"AFUN000207",293.938769133981,181.262240965955,181.262240965955,293.938769133981
"AFUN000208",1355.38432434003,820.579063832365,820.579063832365,1355.38432434003
"AFUN000209",3595.03444582478,2690.76448244732,2690.76448244732,3595.03444582478
"AFUN000210",62.0537401505072,150.643619181165,150.643619181165,62.0537401505072
"AFUN000211",321.699652885524,285.36555503424,285.36555503424,321.699652885524
"AFUN000213",394.367848588092,232.701525564402,232.701525564402,394.367848588092
"AFUN000215",45.7238085319527,20.820662813657,20.820662813657,45.7238085319527
"AFUN000216",567.46512374477,509.493866498901,509.493866498901,567.46512374477
"AFUN000217",961.832972332861,714.026260021296,714.026260021296,961.832972332861
"AFUN000219",107.77754868246,155.542598666732,155.542598666732,107.77754868246
"AFUN000220",375.588427226754,445.807133186538,445.807133186538,375.588427226754
"AFUN000225",361.707985350983,263.320147349192,263.320147349192,361.707985350983
"AFUN000228",98.7960862922548,107.77754868246,107.77754868246,98.7960862922548
"AFUN000230",1834.6678173446,2552.36831198007,2552.36831198007,1834.6678173446
"AFUN000231",82.4661546737003,75.9341820262785,75.9341820262785,82.4661546737003
"AFUN000232",57.1547606649408,34.2928563989645,34.2928563989645,57.1547606649408
"AFUN000233",125.74047346287,123.699232010551,123.699232010551,125.74047346287
"AFUN000234",275.159347772644,170.239537123431,170.239537123431,275.159347772644
"AFUN000235",170.647785413895,270.668616577541,270.668616577541,170.647785413895
"AFUN000236",71.0352025407122,19.5959179422654,19.5959179422654,71.0352025407122
"AFUN000237",542.15372973601,434.784429344014,434.784429344014,542.15372973601
"AFUN000238",69.4022093788567,60.0124986981879,60.0124986981879,69.4022093788567
"AFUN000239",7.34846922834953,26.944387170615,26.944387170615,7.34846922834953
"AFUN000240",187.794213613377,154.31785379534,154.31785379534,187.794213613377
"AFUN000241",329.048122113874,264.544892220583,264.544892220583,329.048122113874
"AFUN000242",903.045218506065,1102.27038425243,1102.27038425243,903.045218506065
"AFUN000243",209.023124717498,82.0579063832365,82.0579063832365,209.023124717498
"AFUN000244",492.347438299419,505.819631884726,505.819631884726,492.347438299419
"AFUN000247",75.1176854453508,20.820662813657,20.820662813657,75.1176854453508
"AFUN000248",689.939610883928,2145.75301467806,2145.75301467806,689.939610883928
"AFUN000249",1766.8986011276,1308.02752264622,1308.02752264622,1766.8986011276
"AFUN000251",115.126017910809,67.3609679265374,67.3609679265374,115.126017910809
"AFUN000252",157.583840119051,71.0352025407122,71.0352025407122,157.583840119051
"AFUN000258",141.253908500497,175.138516608997,175.138516608997,141.253908500497
"AFUN000259",285.773803324704,218.004587107703,218.004587107703,285.773803324704
"AFUN000260",526.640294698383,311.085197333464,311.085197333464,526.640294698383
"AFUN000261",62.0537401505072,133.497190981683,133.497190981683,62.0537401505072
"AFUN000262",242.499484535535,361.299737060519,361.299737060519,242.499484535535
"AFUN000263",105.328058939677,86.9568858688028,86.9568858688028,105.328058939677
"AFUN000265",393.551352007164,334.355349889904,334.355349889904,393.551352007164
"AFUN000266",431.110194729839,892.839011244469,892.839011244469,431.110194729839
"AFUN000267",1139.01273039418,808.331615118449,808.331615118449,1139.01273039418
"AFUN000268",118.39200423452,80.8331615118449,80.8331615118449,118.39200423452
"AFUN000269",60.4207469886517,95.530099968544,95.530099968544,60.4207469886517
"AFUN000270",315.98417681903,767.915034362526,767.915034362526,315.98417681903
