"","gene_id","Teso_resistant","teso_susceptible","Teso_resistant.1","teso_susceptible.1"
"1","AFUN000003",228,76,228,76
"2","AFUN000006",93,32,93,32
"3","AFUN000007",3283,1096,3283,1096
"4","AFUN000008",1637,378,1637,378
"5","AFUN000009",1495,571,1495,571
"6","AFUN000011",2424,2216,2424,2216
"7","AFUN000012",3288,1280,3288,1280
"8","AFUN000013",277,24,277,24
"9","AFUN000014",277,115,277,115
"10","AFUN000015",11,25,11,25
"11","AFUN000018",713,277,713,277
"12","AFUN000019",3731,590,3731,590
"13","AFUN000020",776,1261,776,1261
"14","AFUN000021",379,127,379,127
"15","AFUN000022",1784,1884,1784,1884
"16","AFUN000027",160,127,160,127
"17","AFUN000028",566,83,566,83
"18","AFUN000029",279,104,279,104
"19","AFUN000030",2886,980,2886,980
"20","AFUN000031",255,69,255,69
"21","AFUN000032",661,84,661,84
"22","AFUN000033",1319,652,1319,652
"23","AFUN000035",3828,971,3828,971
"24","AFUN000036",802,183,802,183
"25","AFUN000037",487,105,487,105
"26","AFUN000038",5076,3291,5076,3291
"27","AFUN000039",17246,6414,17246,6414
"28","AFUN000040",40,21,40,21
"29","AFUN000041",464,147,464,147
"30","AFUN000042",513,95,513,95
"31","AFUN000043",12,18,12,18
"32","AFUN000044",1909,2020,1909,2020
"33","AFUN000046",1508,637,1508,637
"34","AFUN000047",614,77,614,77
"35","AFUN000048",0,0,0,0
"36","AFUN000052",1056,1126,1056,1126
"37","AFUN000053",6,34,6,34
"38","AFUN000054",0,14,0,14
"39","AFUN000055",3623,2703,3623,2703
"40","AFUN000056",0,0,0,0
"41","AFUN000057",24,56,24,56
"42","AFUN000058",11800,11502,11800,11502
"43","AFUN000060",153,26,153,26
"44","AFUN000061",12,56,12,56
"45","AFUN000062",10,23,10,23
"46","AFUN000070",6,0,6,0
"47","AFUN000071",484,82,484,82
"48","AFUN000077",3609,2938,3609,2938
"49","AFUN000078",906,750,906,750
"50","AFUN000079",184,60,184,60
"51","AFUN000080",2827,1224,2827,1224
"52","AFUN000081",419,73,419,73
"53","AFUN000082",4039,1863,4039,1863
"54","AFUN000083",136,48,136,48
"55","AFUN000085",879,189,879,189
"56","AFUN000087",2657,323,2657,323
"57","AFUN000088",844,360,844,360
"58","AFUN000089",482,121,482,121
"59","AFUN000090",460,61,460,61
"60","AFUN000091",139,69,139,69
"61","AFUN000092",165,39,165,39
"62","AFUN000093",2782,519,2782,519
"63","AFUN000095",330,105,330,105
"64","AFUN000096",76,38,76,38
"65","AFUN000097",3127,2387,3127,2387
"66","AFUN000098",310,97,310,97
"67","AFUN000099",85,25,85,25
"68","AFUN000100",16,33,16,33
"69","AFUN000101",0,18,0,18
"70","AFUN000102",5,23,5,23
"71","AFUN000103",56,51,56,51
"72","AFUN000104",134,117,134,117
"73","AFUN000105",347,105,347,105
"74","AFUN000106",5164,1203,5164,1203
"75","AFUN000107",2,8,2,8
"76","AFUN000108",40,16,40,16
"77","AFUN000109",4322,979,4322,979
"78","AFUN000110",1971,405,1971,405
"79","AFUN000111",549,310,549,310
"80","AFUN000114",425,601,425,601
"81","AFUN000117",2847,2251,2847,2251
"82","AFUN000118",53,513,53,513
"83","AFUN000119",331,198,331,198
"84","AFUN000120",117,39,117,39
"85","AFUN000121",131,73,131,73
"86","AFUN000122",118,61,118,61
"87","AFUN000125",648,330,648,330
"88","AFUN000126",54,142,54,142
"89","AFUN000127",4,10,4,10
"90","AFUN000130",404,127,404,127
"91","AFUN000133",107,26,107,26
"92","AFUN000134",102,13,102,13
"93","AFUN000136",5417,2569,5417,2569
"94","AFUN000139",140,71,140,71
"95","AFUN000140",84,41,84,41
"96","AFUN000148",214,83,214,83
"97","AFUN000149",268,60,268,60
"98","AFUN000150",30,44,30,44
"99","AFUN000151",2252,616,2252,616
"100","AFUN000153",232,100,232,100
"101","AFUN000154",22,25,22,25
"102","AFUN000157",274,82,274,82
"103","AFUN000159",64,36,64,36
"104","AFUN000160",23,5,23,5
"105","AFUN000163",1548,819,1548,819
"106","AFUN000164",202,31,202,31
"107","AFUN000165",1815,816,1815,816
"108","AFUN000166",34,0,34,0
"109","AFUN000167",4,7,4,7
"110","AFUN000168",41,58,41,58
"111","AFUN000169",523,174,523,174
"112","AFUN000173",0,4,0,4
"113","AFUN000174",2,8,2,8
"114","AFUN000176",0,0,0,0
"115","AFUN000177",0,1,0,1
"116","AFUN000178",5,5,5,5
"117","AFUN000179",472,165,472,165
"118","AFUN000180",1100,315,1100,315
"119","AFUN000181",39,4,39,4
"120","AFUN000183",635,86,635,86
"121","AFUN000186",736,366,736,366
"122","AFUN000188",5849,1573,5849,1573
"123","AFUN000189",268,95,268,95
"124","AFUN000190",290,442,290,442
"125","AFUN000191",56,64,56,64
"126","AFUN000192",408,78,408,78
"127","AFUN000193",2997,955,2997,955
"128","AFUN000194",2604,394,2604,394
"129","AFUN000195",1307,396,1307,396
"130","AFUN000197",1645,1504,1645,1504
"131","AFUN000200",4177,1081,4177,1081
"132","AFUN000201",1560,250,1560,250
"133","AFUN000202",521,557,521,557
"134","AFUN000203",213,113,213,113
"135","AFUN000204",2097,1043,2097,1043
"136","AFUN000205",1402,931,1402,931
"137","AFUN000206",983,226,983,226
"138","AFUN000207",890,122,890,122
"139","AFUN000208",2864,814,2864,814
"140","AFUN000209",7767,3083,7767,3083
"141","AFUN000210",109,115,109,115
"142","AFUN000211",476,264,476,264
"143","AFUN000213",345,260,345,260
"144","AFUN000215",79,29,79,29
"145","AFUN000216",1124,402,1124,402
"146","AFUN000217",1722,719,1722,719
"147","AFUN000219",259,146,259,146
"148","AFUN000220",1033,620,1033,620
"149","AFUN000225",1041,317,1041,317
"150","AFUN000228",264,63,264,63
"151","AFUN000230",2283,1727,2283,1727
"152","AFUN000231",136,97,136,97
"153","AFUN000232",183,86,183,86
"154","AFUN000233",221,114,221,114
"155","AFUN000234",578,83,578,83
"156","AFUN000235",320,195,320,195
"157","AFUN000236",182,75,182,75
"158","AFUN000237",1107,397,1107,397
"159","AFUN000238",202,118,202,118
"160","AFUN000239",34,29,34,29
"161","AFUN000240",567,121,567,121
"162","AFUN000241",585,247,585,247
"163","AFUN000242",1581,762,1581,762
"164","AFUN000243",449,109,449,109
"165","AFUN000244",678,243,678,243
"166","AFUN000247",65,8,65,8
"167","AFUN000248",1000,1716,1000,1716
"168","AFUN000249",4540,1968,4540,1968
"169","AFUN000251",364,53,364,53
"170","AFUN000252",267,70,267,70
"171","AFUN000257",25,6,25,6
"172","AFUN000258",173,126,173,126
"173","AFUN000259",538,246,538,246
"174","AFUN000260",893,285,893,285
"175","AFUN000261",107,40,107,40
"176","AFUN000262",403,98,403,98
"177","AFUN000263",151,113,151,113
"178","AFUN000265",593,195,593,195
"179","AFUN000266",445,909,445,909
"180","AFUN000267",2290,792,2290,792
"181","AFUN000268",134,32,134,32
"182","AFUN000269",86,26,86,26
"183","AFUN000270",370,238,370,238
"184","AFUN000271",176,237,176,237
"185","AFUN000273",163,63,163,63
"186","AFUN000277",1276,211,1276,211
"187","AFUN000278",51,14,51,14
"188","AFUN000279",26,12,26,12
"189","AFUN000282",883,140,883,140
"190","AFUN000283",674,531,674,531
"191","AFUN000284",14786,5637,14786,5637
"192","AFUN000287",43,34,43,34
"193","AFUN000288",11,67,11,67
"194","AFUN000289",1,0,1,0
"195","AFUN000294",1079,280,1079,280
"196","AFUN000296",193,37,193,37
"197","AFUN000297",308,397,308,397
"198","AFUN000298",887,367,887,367
"199","AFUN000301",814,364,814,364
"200","AFUN000302",641,159,641,159
"201","AFUN000303",114,19,114,19
"202","AFUN000304",163,31,163,31
"203","AFUN000305",549,110,549,110
"204","AFUN000306",497,36,497,36
"205","AFUN000309",116,100,116,100
"206","AFUN000319",78,140,78,140
"207","AFUN000320",45,29,45,29
"208","AFUN000321",506,1158,506,1158
"209","AFUN000322",396,200,396,200
"210","AFUN000323",884,572,884,572
"211","AFUN000333",890,291,890,291
"212","AFUN000334",2157,711,2157,711
"213","AFUN000335",453,310,453,310
"214","AFUN000336",4087,2245,4087,2245
"215","AFUN000337",829,555,829,555
"216","AFUN000338",30,18,30,18
"217","AFUN000339",1124,978,1124,978
"218","AFUN000343",203,99,203,99
"219","AFUN000344",458,181,458,181
"220","AFUN000348",0,11,0,11
"221","AFUN000349",104,18,104,18
"222","AFUN000350",1526,809,1526,809
"223","AFUN000351",14,6,14,6
"224","AFUN000354",6854,1741,6854,1741
"225","AFUN000355",8,8,8,8
"226","AFUN000356",8,3,8,3
"227","AFUN000357",67,56,67,56
"228","AFUN000358",12,19,12,19
"229","AFUN000360",0,28,0,28
"230","AFUN000362",2500,1314,2500,1314
"231","AFUN000365",12,30,12,30
"232","AFUN000369",10,0,10,0
"233","AFUN000373",209,91,209,91
"234","AFUN000374",519,514,519,514
"235","AFUN000375",499,355,499,355
"236","AFUN000379",5735,2244,5735,2244
"237","AFUN000380",628,1219,628,1219
"238","AFUN000383",318,204,318,204
"239","AFUN000389",2280,1520,2280,1520
"240","AFUN000390",3401,2491,3401,2491
"241","AFUN000391",1,5,1,5
"242","AFUN000392",31,9,31,9
"243","AFUN000393",9,1,9,1
"244","AFUN000394",353,56,353,56
"245","AFUN000395",2572,589,2572,589
"246","AFUN000397",166,226,166,226
"247","AFUN000398",494,3397,494,3397
"248","AFUN000399",42,32,42,32
"249","AFUN000400",974,220,974,220
"250","AFUN000401",118,15,118,15
"251","AFUN000402",104,27,104,27
"252","AFUN000403",637,462,637,462
"253","AFUN000404",938,183,938,183
"254","AFUN000406",1985,1620,1985,1620
"255","AFUN000407",19,7,19,7
"256","AFUN000408",48,12,48,12
"257","AFUN000411",495,156,495,156
"258","AFUN000413",92,38,92,38
"259","AFUN000414",1118,330,1118,330
"260","AFUN000415",246,27,246,27
"261","AFUN000416",737,278,737,278
"262","AFUN000417",1846,332,1846,332
"263","AFUN000418",1621,630,1621,630
"264","AFUN000419",31,121,31,121
"265","AFUN000420",7778,1457,7778,1457
"266","AFUN000421",64,8,64,8
"267","AFUN000423",484,138,484,138
"268","AFUN000424",217,61,217,61
"269","AFUN000425",551,327,551,327
"270","AFUN000426",4151,534,4151,534
"271","AFUN000427",24,25,24,25
"272","AFUN000428",361,267,361,267
"273","AFUN000429",863,222,863,222
"274","AFUN000430",253,93,253,93
"275","AFUN000432",1,6,1,6
"276","AFUN000433",97,23,97,23
"277","AFUN000434",10,2,10,2
"278","AFUN000436",1083,491,1083,491
"279","AFUN000437",552,114,552,114
"280","AFUN000438",1596,1248,1596,1248
"281","AFUN000440",280,318,280,318
"282","AFUN000441",475,108,475,108
"283","AFUN000443",330,666,330,666
"284","AFUN000447",2219,670,2219,670
"285","AFUN000448",6271,8803,6271,8803
"286","AFUN000449",311,228,311,228
"287","AFUN000450",894,562,894,562
"288","AFUN000451",1025,330,1025,330
"289","AFUN000452",495,290,495,290
"290","AFUN000453",3207,2631,3207,2631
"291","AFUN000454",495,128,495,128
"292","AFUN000456",116,60,116,60
"293","AFUN000457",10,19,10,19
"294","AFUN000458",2507,2297,2507,2297
"295","AFUN000461",3022,681,3022,681
"296","AFUN000462",311,393,311,393
"297","AFUN000463",239,76,239,76
"298","AFUN000464",12,68,12,68
"299","AFUN000467",188,48,188,48
"300","AFUN000469",69,65,69,65
"301","AFUN000470",0,17,0,17
"302","AFUN000471",679,154,679,154
"303","AFUN000472",0,0,0,0
"304","AFUN000473",46,42,46,42
"305","AFUN000474",17,10,17,10
"306","AFUN000475",622,385,622,385
"307","AFUN000476",6001,1326,6001,1326
"308","AFUN000477",30,31,30,31
"309","AFUN000478",776,189,776,189
"310","AFUN000482",58,11,58,11
"311","AFUN000483",91,49,91,49
"312","AFUN000484",145,41,145,41
"313","AFUN000486",46,7,46,7
"314","AFUN000489",793,143,793,143
"315","AFUN000490",61,43,61,43
"316","AFUN000491",42,18,42,18
"317","AFUN000492",625,454,625,454
"318","AFUN000493",193,33,193,33
"319","AFUN000494",6107,1279,6107,1279
"320","AFUN000495",1088,633,1088,633
